data,preco,volume,symbol
2025-08-27,111262.01,13392.60875,BTCUSDT
2025-08-28,112566.9,11104.27744,BTCUSDT
2025-08-29,108377.4,22580.31045,BTCUSDT
2025-08-30,108816.33,10708.39159,BTCUSDT
2025-08-31,108246.35,9489.51596,BTCUSDT
2025-09-01,109237.42,16053.60219,BTCUSDT
2025-09-02,111240.01,18510.28756,BTCUSDT
2025-09-03,111705.71,11773.72084,BTCUSDT
2025-09-04,110730.87,12203.13536,BTCUSDT
2025-09-05,110659.99,21587.40888,BTCUSDT
2025-09-06,110187.97,5000.29897,BTCUSDT
2025-09-07,111137.34,5681.29944,BTCUSDT
2025-09-08,112065.23,11582.40211,BTCUSDT
2025-09-09,111546.39,15379.28248,BTCUSDT
2025-09-10,113960.0,17517.41823,BTCUSDT
2025-09-11,115482.69,13676.73119,BTCUSDT
2025-09-12,116029.42,15324.10719,BTCUSDT
2025-09-13,115918.29,8269.40394,BTCUSDT
2025-09-14,115268.01,6707.60197,BTCUSDT
2025-09-15,115349.71,13212.51149,BTCUSDT
2025-09-16,116788.96,10926.9094,BTCUSDT
2025-09-17,116447.59,16754.2454,BTCUSDT
2025-09-18,117073.53,11657.23365,BTCUSDT
2025-09-19,115632.38,8992.09065,BTCUSDT
2025-09-20,115685.63,4674.92752,BTCUSDT
2025-09-21,115232.29,4511.52219,BTCUSDT
2025-09-22,112650.99,20781.71356,BTCUSDT
2025-09-23,111998.8,12301.3203,BTCUSDT
2025-09-24,113307.0,12369.25967,BTCUSDT
2025-09-25,108994.49,21231.14957,BTCUSDT
2025-09-26,109643.46,14243.01591,BTCUSDT
2025-09-27,109635.85,5501.78643,BTCUSDT
2025-09-28,112163.95,7542.3316,BTCUSDT
2025-09-29,114311.96,15541.12005,BTCUSDT
2025-09-30,114048.93,15044.15633,BTCUSDT
2025-10-01,118594.99,20036.39516,BTCUSDT
2025-10-02,120529.35,19670.83503,BTCUSDT
2025-10-03,122232.0,23936.328,BTCUSDT
2025-10-04,122391.0,8208.16678,BTCUSDT
2025-10-05,123482.31,22043.097553,BTCUSDT
2025-10-06,124658.54,19494.628793,BTCUSDT
2025-10-07,121332.95,21633.99385,BTCUSDT
2025-10-08,123306.0,17012.618,BTCUSDT
2025-10-09,121662.4,21559.36007,BTCUSDT
2025-10-10,112774.5,64171.93927,BTCUSDT
2025-10-11,110644.4,35448.51652,BTCUSDT
2025-10-12,114958.8,32255.30272,BTCUSDT
2025-10-13,115166.0,22557.24033,BTCUSDT
2025-10-14,113028.14,31870.32974,BTCUSDT
2025-10-15,110763.28,22986.48811,BTCUSDT
2025-10-16,108194.28,29857.17252,BTCUSDT
2025-10-17,106431.68,37920.66838,BTCUSDT
2025-10-18,107185.01,11123.18766,BTCUSDT
2025-10-19,108642.78,15480.66423,BTCUSDT
2025-10-20,110532.09,19193.4416,BTCUSDT
2025-10-21,108297.67,37228.01659,BTCUSDT
2025-10-22,107875.31,19819.32202,BTCUSDT
2024-10-23,2524.61,352647.7086,ETHUSDT
2024-10-24,2535.82,290851.7842,ETHUSDT
2024-10-25,2440.62,514799.8822,ETHUSDT
2024-10-26,2482.51,248724.8313,ETHUSDT
2024-10-27,2507.8,137580.8836,ETHUSDT
2024-10-28,2567.48,360605.327,ETHUSDT
2024-10-29,2638.8,451915.7025,ETHUSDT
2024-10-30,2659.19,460627.126,ETHUSDT
2024-10-31,2518.61,403427.2017,ETHUSDT
2024-11-01,2511.49,430249.1073,ETHUSDT
2024-11-02,2494.23,145961.13,ETHUSDT
2024-11-03,2457.73,276009.1197,ETHUSDT
2024-11-04,2398.21,306316.9645,ETHUSDT
2024-11-05,2422.55,331619.2545,ETHUSDT
2024-11-06,2721.87,1002141.3618,ETHUSDT
2024-11-07,2895.47,730845.9524,ETHUSDT
2024-11-08,2961.75,568864.435,ETHUSDT
2024-11-09,3126.21,526719.4212,ETHUSDT
2024-11-10,3183.21,865536.7322,ETHUSDT
2024-11-11,3371.59,1000093.9664,ETHUSDT
